descriptor,model,mean_rmse,std_rmse,mean_mae,std_mae,mean_r2,std_r2
rdkit_count_1024,elasticnet,0.940759664478582,0.03092028389777798,0.7336308037144997,0.02183313908962021,0.2953955394651948,0.01445768862891043
rdkit_bits_512,elasticnet,0.9413783292909373,0.016240126240491176,0.7224290785750538,0.016083681450871162,0.2936236746120092,0.02523430127695367
torsion_bits_1024,elasticnet,0.943355332864338,0.021212961875399724,0.7441812609383851,0.021721131669422942,0.29114300699758383,0.012597124891848254
torsion_bits_512,elasticnet,0.943973240657782,0.02151969351697533,0.7453902158820235,0.021457793756226685,0.29031319704691105,0.005211414073939922
morgan_r0_count_1024,elasticnet,0.9441353646147521,0.03641061292203368,0.7336852254211154,0.018965898933607055,0.29040826870310604,0.022519269369558295
morgan_r0_count_2048,elasticnet,0.9441356192615764,0.036411252468435656,0.7336852631339286,0.018966026515529963,0.290407893866255,0.022520168076034804
morgan_r0_bits_2048,ridge,0.9465292284969726,0.025187574525678526,0.7374206532022844,0.019978302761640383,0.2860502973128669,0.028749732256450358
morgan_r0_bits_1024,ridge,0.9465292284969727,0.025187574525678602,0.7374206532022844,0.01997830276164041,0.28605029731286685,0.028749732256450364
torsion_count_2048,elasticnet,0.9472446730949666,0.01973564238508686,0.7483025450308833,0.019496287300577616,0.2852697114129475,0.010406801977913991
morgan_r1_bits_2048,ridge,0.9473086917059345,0.0292522331139345,0.6983228746243907,0.015145185919491943,0.28524523939041047,0.02302984288432742
torsion_bits_2048,elasticnet,0.9474808925821894,0.02037323027910713,0.7469350984077592,0.019915196652088917,0.28491405307970175,0.011757985164025151
rdkit_count_512,elasticnet,0.9518658140920172,0.031547415568859496,0.7488587791071886,0.022606566073790618,0.27866247552374884,0.015419205361461885
morgan_r0_count_512,elasticnet,0.955719105644447,0.0339472613683577,0.7441006910226646,0.018521587829805033,0.2728589111627303,0.018415662597610554
torsion_count_1024,elasticnet,0.9563183603687312,0.02156303655158551,0.7564442863212105,0.020334127668957206,0.271557173579181,0.01115415419055549
rdkit_bits_512,ridge,0.9584124217578414,0.018410050590054402,0.7376124102053463,0.013667341814486051,0.26730508333732106,0.03981586076138602
atom_pair_bits_512,elasticnet,0.9599228144743073,0.02565844806918428,0.7388232780935803,0.022738683210788736,0.2661309230366196,0.015382422757028504
morgan_r0_bits_512,ridge,0.9611173102862599,0.023648439825931386,0.751757466877592,0.019551374595370104,0.26358397083972035,0.03479060682215701
atom_pair_bits_512,ridge,0.9674655537192504,0.02646016424872122,0.736937533951837,0.02121614466042004,0.25447078060536993,0.02035272941049843
torsion_count_512,elasticnet,0.9706578956527212,0.02652913771977543,0.7687007182628391,0.021903600854191387,0.2497635194634662,0.008402376139684616
